symbol,close,price_change_pct,volume,vol_ma10,vol_ratio,rsi,bb_width,ma_alignment,is_cung_can,is_pocket_pivot,rs_score,stock_perf
HDC,17.8,0.5649717513805181,360000,705210.0,0.5104862381418294,57.49999971250001,0.06869032833477849,Sideways/Reversing,True,False,3.4601781376936347,3.488372092820452
HDG,21.25,-0.23474178402654128,265500,961130.0,0.2762373456244209,49.18918892330165,0.057196868118799135,Sideways/Reversing,True,False,1.549243903306375,1.5774378584331925
HHV,11.5,0.4366812226692917,945400,2042740.0,0.4628097555244424,42.105262714681466,0.06476443178677826,Sideways/Reversing,True,False,-0.8902629205697395,-0.862068965442922
HPG,23.4,0.4291845493377941,5864100,13848680.0,0.4234410788609455,37.49999984374996,0.0548095823950277,Strong Downtrend,True,False,-1.2940167398835367,-1.2658227847567194
HSG,11.8,0.0,1306600,2653430.0,0.4924192460324936,25.92592573388204,0.1293484271507141,Sideways/Reversing,True,False,-2.5075327978971114,-2.479338842770294
IJC,9.61,1.6931216929425286,974000,852910.0,1.1419727755566225,49.39758976629411,0.05824006291219486,Sideways/Reversing,False,False,0.600078296116282,0.6282722512430995
KBC,30.75,-0.8064516128772112,819500,1955020.0,0.41917729741895204,52.42718436421905,0.11317255311817918,Strong Uptrend,False,False,2.986881421656592,3.0150753767834098
KDC,50.0,-1.9607843136870435,1222400,921530.0,1.326489642225428,49.999999905660374,0.08642761761088634,Sideways/Reversing,False,False,-2.18083583375397,-2.1526418786271524
KDH,23.3,-0.2141327623034663,3438300,3501790.0,0.9818692725720272,70.27026989043104,0.05778262515062428,Sideways/Reversing,False,False,1.4968605110376743,1.5250544661644918
LPB,46.65,1.3029315960629146,272800,934290.0,0.2919864281968122,18.343195244564285,0.28661863330555953,Sideways/Reversing,True,False,-8.377899259481442,-8.349705304354623
MBB,25.15,1.616161616096311,15117300,10028210.0,1.507477406237005,53.333333096296265,0.04430781274562912,Strong Uptrend,False,True,2.0002036107138155,2.028397565840633
MSN,71.8,1.1267605633644078,1463400,2812560.0,0.5203089000767982,37.391304315311885,0.11595260267151583,Sideways/Reversing,True,False,-1.9407622611116262,-1.9125683059848086
MWG,76.9,0.0,2190100,3388370.0,0.6463579833371206,53.06122443565186,0.05261296838818851,Strong Downtrend,True,False,-1.3118910026071293,-1.2836970474803118
NLG,25.95,0.19305019304274212,688700,992180.0,0.6941280815980964,45.77259461873881,0.05029954869411079,Strong Uptrend,True,False,1.5871841446816242,0.7766990290960477
NT2,22.4,0.2237136465224162,255000,382440.0,0.6667712582365845,26.923076715976237,0.07976104748563538,Sideways/Reversing,True,False,-0.4726383995515151,-0.44444444442469766
PAN,22.9,0.4385964912088241,164500,413710.0,0.3976215223223988,20.75471690281232,0.18325401094034566,Sideways/Reversing,True,False,-2.788278880699647,-2.7600849255728295
PC1,19.75,-1.0025062656139059,1283300,3654930.0,0.3511147956322008,58.69565191871453,0.0910453862595575,Strong Uptrend,False,False,3.9191744657180583,3.9473684208448754
PDR,15.15,0.9999999999333357,3839100,7694500.0,0.49894080187146655,27.49999986250002,0.19355951340979027,Sideways/Reversing,True,False,-0.6839316600018487,-0.6557377048750312
PHR,64.4,-0.15503875968750996,74500,452280.0,0.1647209693110459,32.53012044273484,0.1147383534117703,Sideways/Reversing,True,False,-6.013595414893445,-5.985401459766628
PLX,40.5,1.631116687537484,1266600,2997260.0,0.4225859618451518,46.913580188995574,0.09781385601038374,Sideways/Reversing,True,False,4.218910291868106,4.247104246994923
PNJ,62.5,0.8064516128902186,440600,758270.0,0.5810595170585667,24.615384577514874,0.07216920169715564,Strong Downtrend,False,False,-3.8743478012214916,-3.8461538460946745
POW,13.55,-0.36764705879648873,2063000,4811810.0,0.42873679550938204,42.85714244897967,0.045806807336026004,Strong Downtrend,True,False,-0.028193955126817487,0.0
PTB,36.6,-2.0080321284602936,44700,49730.0,0.8988538105770985,6.849315049727892,0.1099763956692863,Strong Downtrend,False,False,-7.836758186668168,-7.80856423154135
PVD,30.15,0.0,811300,1482520.0,0.5472438820386906,44.927536101659285,0.04724256297366492,Strong Downtrend,True,False,3.0487291216910606,3.076923076817878
PVT,20.0,0.7556675062591531,941700,2194590.0,0.42910065205801523,44.38202222257292,0.03517887905223118,Sideways/Reversing,True,False,1.9605872788360217,1.9887812339628392
REE,50.5,-0.19762845849412083,124600,455050.0,0.2738160641687721,24.99999994318182,0.0883434106192994,Sideways/Reversing,True,False,-0.028193955126817487,0.0
SAB,48.8,0.4115226337363797,608100,593040.0,1.025394577094292,74.02597383369873,0.0473161009664867,Strong Uptrend,False,False,3.8015932788342455,3.8297872339610626
