date,action,symbol,shares,price,amount
2024-04-03,SELL,VIB,2612900,15.65999984741211,40856636.580901146
2024-04-03,SELL,GVR,5108300,33.459999084472656,170667327.75322688
2024-04-03,BUY,HPG,4327900,20.229999542236328,87684745.14137287
2024-04-03,BUY,LPB,6740200,12.989999771118164,87686529.2519766
2024-04-03,BUY,BID,2099600,41.70000076293945,87684651.58427048
2024-04-04,SELL,VCB,1903100,63.75,121140641.0625
2024-04-04,SELL,HPG,4327900,20.0,86428163.0
2024-04-04,BUY,GVR,6327300,32.33000183105469,204868463.01651078
2024-04-04,BUY,CTG,8886200,23.020000457763672,204867168.55988124
2024-04-05,SELL,CTG,8886200,22.780000686645508,202124000.6385168
2024-04-05,SELL,LPB,6740200,12.880000114440918,86683556.10619766
2024-04-05,BUY,PLX,3053000,34.59000015258789,105761675.37154962
2024-04-05,BUY,MSN,1468700,71.9000015258789,105757931.53941995
2024-04-08,SELL,GVR,6327300,30.969999313354492,195662541.9404048
2024-04-08,SELL,PLX,3053000,34.5,105170507.25
2024-04-08,SELL,MSN,1468700,71.9000015258789,105441132.94269677
2024-04-08,BUY,VCB,1096200,63.02000045776367,69186148.28855324
2024-04-08,BUY,GAS,1009700,68.41999816894531,69187297.65941085
2024-04-08,BUY,FPT,849700,81.30000305175781,69184233.51196824
2024-04-09,SELL,FPT,849700,81.58999633789062,69223029.35847321
2024-04-09,SELL,BID,2099600,43.09000015258789,90336056.67389297
2024-04-09,BUY,LPB,10321800,13.970000267028809,144411842.0793523
2024-04-10,SELL,VCB,1096200,62.7599983215332,68694313.89482461
2024-04-10,BUY,VIB,18051900,15.229999542236328,275342824.3796007
2024-04-10,BUY,MBB,18123300,15.170000076293945,275342858.07627213
2024-04-11,SELL,VIB,18051900,15.229999542236328,274518033.09339124
2024-04-11,SELL,MBB,18123300,15.140000343322754,273975188.06980807
2024-04-11,SELL,TCB,1898300,20.8700008392334,39558096.30922709
2024-04-11,SELL,LPB,10321800,13.779999732971191,142021049.64191636
2024-04-11,BUY,VCB,638100,62.41999816894531,39889946.132851414
2024-04-11,BUY,VPB,2265600,17.579999923706055,39888991.69888916
2024-04-11,BUY,PLX,1178400,33.79999923706055,39889663.97960358
2024-04-12,SELL,VPB,2265600,17.889999389648438,40470785.24326172
2024-04-12,SELL,PLX,1178400,34.310001373291016,40370259.259858705
2024-04-12,BUY,CTG,1466700,24.639999389648438,36193696.33545456
2024-04-12,BUY,HPG,1786500,20.229999542236328,36195105.523478515
2024-04-12,BUY,LPB,2455200,14.720000267028809,36194755.47259255
2024-04-15,SELL,GAS,1009700,65.16999816894531,65703443.93045731
2024-04-15,SELL,CTG,1466700,22.959999084472656,33624917.511210255
