date,action,symbol,shares,price,amount
2024-05-27,SELL,LPB,5887800,17.65999984741211,103822579.28094064
2024-05-27,SELL,PLX,2499700,39.959999084472656,99738177.69688912
2024-05-27,BUY,MWG,1645300,58.68000030517578,96691023.80885887
2024-05-27,BUY,STB,3364000,28.700000762939453,96691622.77037813
2024-05-27,BUY,VIB,6410800,15.0600004196167,96691470.66611387
2024-05-28,SELL,STB,3364000,28.850000381469727,96905824.18133926
2024-05-28,SELL,VIB,6410800,15.270000457763672,97746079.55622941
2024-05-28,BUY,FPT,1212000,98.91000366210938,120058742.82513429
2024-05-28,BUY,LPB,6356600,18.860000610351562,120065308.09958039
2024-05-29,SELL,FPT,1212000,97.9800033569336,118573636.42250061
2024-05-29,SELL,VJC,918100,107.9000015258789,98914396.91380806
2024-05-29,BUY,GVR,4441200,34.09000015258789,151627609.44068986
2024-05-29,BUY,PLX,3770900,40.150001525878906,151628743.21506765
2024-05-30,SELL,GVR,4441200,35.16999816894531,155962700.37411806
2024-05-30,SELL,LPB,6356600,19.6200008392334,124529422.58866902
2024-05-30,SELL,PLX,3770900,40.0099983215332,150647392.11666355
2024-05-30,BUY,SHB,7824600,8.279999732971191,64884867.439472295
2024-05-30,BUY,VJC,605400,107.0,64874966.70000001
2024-05-31,SELL,MWG,1645300,62.20000076293945,102184154.76338139
2024-05-31,BUY,SAB,2871200,49.099998474121094,141187379.49232483
2024-05-31,BUY,VIB,9468000,14.890000343322754,141189991.0354557
2024-06-03,SELL,VJC,605400,108.69999694824219,65708267.685237125
2024-06-03,SELL,SAB,2871200,50.029998779296875,143430663.29637453
2024-06-03,SELL,SHB,7824600,8.460000038146973,66096822.12403708
2024-06-03,SELL,VIB,9468000,15.270000457763672,144359499.7876053
2024-06-03,BUY,GAS,1561100,68.94000244140625,107783671.16799623
2024-06-03,BUY,GVR,3147800,34.189998626708984,107784712.59367028
2024-06-03,BUY,LPB,5539100,19.43000030517578,107786151.76243477
2024-06-03,BUY,STB,3617600,29.75,107785035.4
2024-06-04,SELL,GAS,1561100,69.27999877929688,107990776.58521882
2024-06-04,SELL,STB,3617600,29.950000762939453,108184602.07586975
2024-06-04,BUY,PLX,1264300,40.349998474121094,51091024.825437546
2024-06-04,BUY,SHB,6080800,8.390000343322754,51094440.95880853
2024-06-05,SELL,LPB,5539100,19.389999389648438,107242040.90077287
2024-06-05,SELL,SHB,6080800,8.390000343322754,50941387.21654549
2024-06-05,SELL,BSR,7061200,14.010000228881836,98779022.49575615
2024-06-05,BUY,GAS,2020700,69.11000061035156,139860054.1006874
2024-06-05,BUY,MWG,2303000,60.63999938964844,139863399.4722519
2024-06-05,BUY,VPB,8067900,17.309999465942383,139864827.7083135
2024-06-06,SELL,GAS,2020700,68.8499984741211,138916504.12878153
2024-06-06,SELL,GVR,3147800,33.9900016784668,106833236.69255257
