date,action,symbol,shares,price,amount
2024-01-19,BUY,CTG,2472500,22.3700008392334,55392791.815617085
2024-01-19,BUY,VPB,3091700,17.889999389648438,55393476.87964554
2024-01-19,BUY,TCB,3420500,16.170000076293945,55392449.488854885
2024-01-22,SELL,VJC,726600,105.5999984741211,76613865.45295945
2024-01-22,SELL,CTG,2472500,22.40999984741211,55325611.53579235
2024-01-22,SELL,HPG,1807100,19.1200008392334,34499925.886303805
2024-01-22,SELL,SSI,3227900,23.579999923706055,75999710.93110017
2024-01-22,BUY,ACB,4036300,18.459999084472656,74621859.44611397
2024-01-22,BUY,GVR,3624100,20.559999465942383,74623261.30561857
2024-01-22,BUY,VCB,1219500,61.099998474121094,74623215.31139946
2024-01-22,BUY,VIB,5310800,14.029999732971191,74622288.3657362
2024-01-23,SELL,VCB,1219500,60.7599983215332,73985672.72618008
2024-01-23,SELL,VPB,3091700,17.889999389648438,55227545.346306615
2024-01-23,SELL,GVR,3624100,20.420000076293945,73893116.09308214
2024-01-23,BUY,CTG,2448600,22.100000381469727,54195232.02546788
2024-01-23,BUY,VHM,1277800,42.349998474121094,54196000.29230729
2024-01-23,BUY,HPG,2825900,19.149999618530273,54197157.897887714
2024-01-24,SELL,ACB,4036300,18.110000610351562,72987749.37036668
2024-01-24,SELL,VHM,1277800,42.5,54225040.25
2024-01-24,SELL,FPT,1098100,68.58999633789062,75205696.96616974
2024-01-24,SELL,PLX,1049300,32.2599983215332,33799640.61442661
2024-01-24,BUY,SSI,2509000,23.610000610351562,59326347.76866913
2024-01-24,BUY,MWG,1364000,43.43000030517578,59327378.19688416
2024-01-24,BUY,MSN,894800,66.19999694824219,59324610.90519105
2024-01-24,BUY,GVR,2901000,20.420000076293945,59327277.85166073
2024-01-24,BUY,VCB,979100,60.5,59324403.325
2024-01-25,SELL,HPG,2825900,19.09000015258789,53865511.78405133
2024-01-25,SELL,MWG,1364000,44.209999084472656,60211985.09309387
2024-01-25,SELL,MSN,894800,66.80000305175781,59682983.76661682
2024-01-25,SELL,GVR,2901000,20.420000076293945,59149562.59099674
2024-01-25,SELL,VCB,979100,60.43000030517578,59078262.778849415
2024-01-25,SELL,VIB,5310800,13.699999809265137,72648822.04856472
2024-01-25,BUY,VPB,1893600,17.850000381469727,33851461.8634346
2024-01-25,BUY,BID,854200,39.56999969482422,33851394.77992783
2024-01-25,BUY,FPT,492300,68.66000366210938,33852021.782560736
2024-01-25,BUY,PLX,1052300,32.119998931884766,33850574.68833637
