date,action,symbol,shares,price,amount
2025-04-14,SELL,STB,1659900,37.79999923706055,62650102.40549641
2025-04-14,BUY,VJC,1014400,85.5,86861296.80000001
2025-04-14,BUY,GVR,3357700,25.829999923706055,86859484.82994357
2025-04-14,BUY,VHM,1516200,57.20000076293945,86856731.11850396
2025-04-14,BUY,SSB,5458200,15.890000343322754,86860896.07373515
2025-04-15,SELL,VJC,1014400,83.30000305175781,84372773.81105958
2025-04-15,SELL,SSB,5458200,15.430000305175781,84093697.62421189
2025-04-15,BUY,GAS,1725400,54.81999969482422,94728307.11465989
2025-04-15,BUY,VIC,2683400,35.25,94731734.775
2025-04-16,SELL,VHM,1516200,56.5,85536802.05000001
2025-04-16,SELL,VIC,2683400,33.95000076293945,90964779.89920083
2025-04-16,BUY,BSR,13893900,9.65999984741211,134416394.48777905
2025-04-16,BUY,PLX,4203400,31.93000030517578,134415885.12770003
2025-04-17,SELL,BSR,13893900,9.75,135262326.7125
2025-04-17,SELL,GVR,3357700,23.860000610351562,79994551.96330337
2025-04-17,BUY,VHM,1774800,56.79999923706055,100959851.60390396
2025-04-17,BUY,VIC,2839700,35.5,100960564.02500002
2025-04-18,SELL,GAS,1725400,55.0099983215332,94771879.72731744
2025-04-18,BUY,SHB,12814600,10.8100004196167,138733620.124286
2025-04-21,SELL_STOP,VIC,2839700,30.75,87189793.8375
2025-04-21,SELL,VHM,1774800,55.0,97467579.0
2025-04-21,BUY,VIC,3831500,30.75,117995352.93750001
2025-04-21,BUY,GVR,5041500,23.3700008392334,117996589.01984167
2025-04-22,SELL,PLX,4203400,32.029998779296875,134432944.52359316
2025-04-22,BUY,VHM,1847400,57.5,106384838.25000001
2025-04-22,BUY,BSR,11434400,9.289999961853027,106384913.92715798
2025-04-23,SELL,VHM,1847400,58.5,107910790.65
2025-04-23,SELL,BSR,11434400,9.539999961853027,108920549.30046654
2025-04-23,BUY,PLX,2848000,32.369998931884766,92328041.59344482
2025-04-23,BUY,VRE,4200000,21.950000762939453,92328288.20915222
2025-04-24,SELL,SHB,12814600,10.850000381469727,138829857.26604939
2025-04-25,SELL,PLX,2848000,33.13999938964844,94241144.18432617
2025-04-25,SELL,GVR,5041500,23.469999313354492,118146515.53596926
2025-04-25,BUY,VHM,1876600,62.29999923706055,117087546.83612023
2025-04-25,BUY,STB,2986200,39.150001525878906,117085099.15841445
2025-04-28,SELL,STB,2986200,39.25,117032537.47500001
2025-04-28,BUY,MBB,7190200,17.770000457763672,127961512.07734947
2025-04-29,SELL,VIC,3831500,34.0,130075593.5
2025-04-29,BUY,SAB,3915200,43.400001525878906,170174565.5030823
2025-04-29,BUY,SHB,16030100,10.600000381469727,170173944.71417037
2025-05-05,SELL,SAB,3915200,43.220001220703125,168961126.35612795
2025-05-05,SELL,VHM,1876600,60.900001525878906,114113515.44916916
2025-05-05,SELL,SHB,16030100,10.680000305175781,170944670.6826603
2025-05-05,BUY,VIC,1112900,35.0,39009927.25
2025-05-05,BUY,GVR,1589900,24.5,39010978.825
2025-05-06,SELL,VIC,1112900,35.25,39170880.4125
2025-05-06,SELL,VRE,4200000,24.899999618530273,104423128.40023041
2025-05-06,BUY,VHM,924100,60.900001525878906,56362107.947179794
2025-05-06,BUY,STB,1448600,38.849998474121094,56362524.95129624
2025-05-07,SELL,GVR,1589900,24.5,38894121.175000004
